"X","rating","location","text"
59,5,"us"," Slots Romance Great game! I play it every day!"
60,1,"au"," Gems!! Only gave you 1 star as you can't continue with any upgrades unless you have a really stupid amount of gems!! Fix the gem problem and this game would be great but at the moment it's just frustrating!!!"
61,2,"au"," Game of Wallet This game used to be awesome but they keep changing to rules and game mechanics plus offering ""quests"" and ""events"" that actually send you backwards.

It's definitely a game for those with thousands of dollars (seriously, I mean it). I know of a few that are over $5000 in spending and am told that's nothing compared to others.

It would be very difficult for a new player to start in this game and have any hope of getting anywhere near even the middle of rankings.

You basically never know when the mechanics of the game will be moved (they can be massive changes) and need to play the game near most of your waking hours."
62,5,"au"," Ok Ok"
63,5,"gb"," Plumber crack Fun game"
64,4,"au"," Addictive Love the game can't stop playing"
65,5,"nz"," Dkxnsmxlzkwmx Lol"
66,5,"gb"," SO EFFING ADDICTIVE This game is the definition of Awesome sauce! It's unbelievably addictive! Sadly we got a new and terrible Internet router and I can't update the game so I can't play at the moment, but apart from that this game is the opposite of <f0><U+009F><U+0092><U+00A9>
Good job<f0><U+009F><U+0091><U+008D>"
67,5,"gb"," Addictive Great looking, fun game"
68,5,"gb"," Addictive 'Nuff said."
69,5,"gb"," They ticked all the boxes This is a really good thing the people at  at urban rivals made so know I can play it when I'm not in the house,yay!!!"
70,3,"gb"," Its ok.. The only thing that really grinds my gears is if your raid and get disconnected you don't get anything refunded if you have used gems for the raid.."
71,2,"au"," Slow downloading Why has this game got so slow in downloading? Since the last update takes me ages to get from farm to farm and it keeps going off"
72,5,"au"," Great!! I rarely rate apps and when I do there usually only great or crappy games, this is an awesome game had it for a while now. Please add clan vs clan battles and PvP. Then this will be best mmo on the AppStore"
73,5,"nz"," I AM ADDICTED-BEST GAME EVER!!!!!!!!!!!!!!!!!! This game is so fun & addicting. Especially if you're bored-you play this game and trust me-you'll snap out of it. Fun farming. Just like living on a farm too!!! Just...not. So many customers, a roadside shop, sheep, pigs, horses, cows,chickens,dogs.
It goes on FOREVER!!!
BEST GAME EVER!!!!!"
74,5,"us"," Fun Enjoying playing."
75,5,"nz"," ADDICTIVE!!!! This is a fun and easy to play and lose!!"
76,1,"gb"," This game is a rip off Note it's practically impossible to enjoy this game without spending significant amounts of money. Game developers are exceptionally greedy. Also note the game is totally unfair with some player getting free upgrades without paying any money, apparently due to ""glitches"" in the game. You will regret playing this game."
77,3,"us"," Sweet Nice"
78,5,"au"," Casino Love the games & interaction"
79,5,"us"," Sick Luv it do more rovio"
80,3,"au"," Plumbers Crack Good game to while away the hours.  Watch the sore ice flicking finger!"
81,1,"nz"," Terrible Downloaded the game and it keeps on lagging, I swipe the screen and my player doesn't move, deleted it straight away."
82,5,"us"," Good game but.... The game itself is fun to play. My only issue is that you have to constantly buy clothes and other items to keep up a ""professional"" and ""romantic"" appearance for dates and gigs. It's starting to become very taxing and I can't buy anything that isn't worth K-stars now. Everything else that is worth cash is extremely expensive and/or locked because I'm not high enough in levels. Please consider lowering prices or creating an easier way to earn more money besides watching a million ads..."
83,5,"au"," Awesome Game!!! This game is so simple and very addictive. It's a game that you can spend hours playing. In my opinion Warriors is the best game out right now."
84,5,"nz"," Grhrhrh Gmwl"
85,4,"au"," Frustrated So i upgraded to ios 8 and i also upgraded my clash of clans app, and now my app is so much slower than before. I don't know if its the new apple software or the app but can you please fix the problem? Thanks. Also this game is the greatest game on the AppStore."
86,1,"gb"," Fix it! I've lost all my archers and my alchemist! It's reverted me back to previous level and reset my materials after grinding for them.

Makes it more annoying that I've spent money on IAP!!!"
87,5,"au"," Awsome Game! Name says it all"
88,5,"us"," Fun I love it"
89,5,"au"," Amazing Well worth playing,very addictive!"
90,1,"au"," Not impressed Don't waste your time or money. Since day one this game has constantly froze or crashed. Get chips then crashes, reopen and they are gone. This game has never worked properly. It should be removed from App Store!"
91,5,"gb"," Good! Its a real good game ; && the movie :o"
92,5,"us"," So Much Fun!! This game is so much fun to play and is so hard to put down.  I look forward to more settings and more objects to throw."
93,5,"us"," Driver Easy fun game"
94,5,"nz"," Candy It's a good game"
95,1,"nz"," Crashing! Love this game, but got to level 30, bought the land and pier, fisherman has turned up and game froze. Very very frustrating. Why? Would have given 4 plus stars otherwise. Please fix!"
96,5,"us"," Entertaining Nice"
97,3,"nz"," Disappointed I love this game but they make it almost impossible to complete challenges unless you spend money or 24 hours a day playing. Not sure I will keep the game if this carries on"
98,5,"us"," Fun Fast paced game so far."
99,5,"gb"," Casino Very good great upgrades lots of fun free down load what great casino game lots to do"
100,4,"au"," Miss Absolutely fabulous :) love it!"
101,5,"au"," Awesome Awesome game"
102,5,"us"," Amazing game!! ..."
103,4,"us"," Very fun Addictive game, similar to a Tomogotchi. You will want to check in on your village and clan.  Building, building, building and re-arranging you village. Some battles too. Ver well constructed."
104,5,"us"," Takes too long to load Besides that its really nicee"
105,5,"us"," Omg! Sooooooo cute game I love it! <f0><U+009F><U+0098><U+0086>"
106,5,"gb"," Brilliant! I love it!"
107,5,"us"," Challenging This game is very challenging and you'll get mad at it when you lose but it's still fun to play"
108,4,"gb"," Ups and downs It's fun(it gets frustrating though) but its a classic game and nothing will make me delete it.
P.s I agree with teneray, it is very good for a free app!!"
109,5,"us"," Marna I love this game"
110,5,"au"," 10-Oct Great game"
111,4,"au"," Enjoyable Game Fun"
112,5,"nz"," Miss Awesome fun"
113,5,"au"," Chuck Norris dancing Fruity lion"
114,5,"gb"," Warrior Loads of fun"
115,1,"us"," Pile of crap Worst game ever it only glitches and crashes it so stupid I tried it many times but just crashes  FIX IT"
116,1,"us"," Not as much fun Still crashes after the last 2 upgrades. The game isn't as fun as it was prior to the new upgrades. Took away the magnet purchase and wiped out all the magnets that were accumulated.  Also increased the cost of things 1000%. Unfortunate...On to something new."
117,4,"gb"," Me Wicked game!"
118,5,"au"," Frighteningly addictive An awesome game and must have for apple products!"
119,5,"us"," Love Love this game. 
I just wish if your stuck on a level for a certain amount of time you could just pass it."
120,4,"us"," I'm not sure what I'm supposed to write here Great game. Although u shudnt b forced 2 buy things with $. First bec. it's expensive second bec. that's not a part of the game and third bec. some players (kids especially) have restrictions."
121,5,"au"," IM ADDICTED AND I JUST CAN'T GET ENOUGH! Fantastic!!"
122,5,"au"," Good It is a good game to play while wasting time"
123,5,"au"," Mary hand I loved this on my desktop.  Now it is on IPad I am so thrilled it is just the best thanks"
124,5,"au"," So entertaining and addictive!!! I"
125,5,"gb"," Game So happy this game is on App Store now <3"
126,1,"us"," Annoying Omg the ads are so annoying.after every try there's an ad."
127,5,"gb"," Sick Dis game is sick"
128,4,"au"," Good game Great game. Hours of fun for all the family. Great work."
129,5,"us"," Criminal Case Nice game. Love playing it."
130,1,"us"," Finish now gem speed up How about along with a finish now a speed up for gems for half hour, hour & hours units."
131,2,"au"," Drop outs Can't even play a slot tournament without the app crashing, think it's time for a new update or else a new game!!!"
132,1,"gb"," Not good!! So many adverts. When your trying to watch it, it just freezes and takes such a long time to load! Sometimes it crashes and you need to start from the beginning! Picture quality isn't good, it can go blurry and it's not enjoyable!"
133,5,"us"," Plumber Crack So fun  I totally recommend it"
134,2,"us"," Too many crashes Far too many crashes recently and noticed that the slots have really tightened up.  Will continue to try to play, but if crashes/freezing continues, will delete game.  Don't like that it tries to take me to facebook too.  Not interested in that.  Games used to be fun."
135,2,"gb"," Great! But... Was working fine for a few days but now it won't me log in I'm deleting then adding the app agian ill see if it works other wise would have been 5stars :("
136,5,"gb"," GREAT Great game this is keep up the good work"
137,5,"gb"," Candy crush Did get up to 400+ but changed email and now back at start for third time so not impressed"
138,5,"us"," Johnbri Love the game however, just got my new iPhone and I'm starting all over from scratch. Close to 2000000 coin down the drain. Plus all my characters. But still love playing it"
139,1,"nz"," New update just crashes I can't play since I downloaded the new update - it just crashes on loading every time. Turned my iPod off and on again but it made no difference."
140,5,"gb"," Good game It's very adivte game for kids to look after animals"
141,4,"us"," Robot Transfering My friend has 5 Cardinal chaoses and he wants to send one to me so I am asking if any game developers are reading this to enable robot Transfering."
142,1,"au"," Slots Don't know won't let me play."
143,2,"gb"," Patience required Its buggy - spent about 10 times trying to log in. Surprised myself how many times I tried

A big bag of patience required for updates too. Hold your nerve and only use gems when you have to or have deep pockets

I'll play for a bit longer. Fills in the gaps whilst I'm waiting for clash of clans troop builds. If they iron out the bugs it has potential

Update to review : after playing it for a number of months playing:
Great game but it keeps crashing during a raid
Please have some stability"
144,3,"us"," Ooookkkayyyyy This is a good game I have to say, but there are a few things I don't like about the game. First it crashes sometimes which is kinda irritating, next make it easier to get gold coins to get Zeus ( I have Zeus) , next WHY THE HEAK is atom a uw1 robot!!! He should be in the same class as Zeus , and the mystery draw card thing is hard ( that is how I got Zeus ) with the gold silver and bronze. The new update came and the 4 new bots are really cool especially Fiend. There are some irritating glitches that I would like you to fix. First of all it doesn't let me play against Zeus in the free sparring mode. Next sometimes when you are at main menu it doesn't let me swipe to see different angles of my robot. Also I have fiend and when I beat Zeus in the championship mode and it shows fiend with the belt and his midsection is invisible! Weird! Plz add another update to fx These irritating problems. Thx for reading. (when is global multiplayer coming?)"
145,4,"au"," Dungeon Keeper You should make another game like this nice job !!!!"
146,5,"au"," JD Very addictive fun gaming"
147,5,"au"," Awesome Great for keeping the kids entertained at appointments - and awesome for me all the other times.... Hehe"
148,1,"au"," hard game you need time or lot of money<U+3002>i spend more than 3k and still nobody in the game<U+3002> got zero one day because im at work.if you are rich this game is build for ya<U+3002>you can feel like a king<U+3002>but rich means spend more than 20k<U+3002>"
149,1,"au"," Aussies are Disadvantaged I am currently on level 53 and am totally addicted to the game. The co op I belong to are some of the nicest people I have ""met"" and we are always helping each other out. I've made a lifelong friend with an American player and when playing today and chatting to her for more than two hours she requested another helping hand. I had already sent one to her and she sent one to me at the beginning of our play. After the two hours she requested another helping hand whilst I still had a further 4 hours to wait until I could request another. How come USA players get one every two hours??? And I also discovered that once you reach 20 million coins they don't accumulate any further so basically now I sell stuff and don't get any coin for it. That's downright rude. I have spent many real dollars on this game."
150,5,"au"," Casino Love these games awesome awesome awesome. My Favourite by far. Come on big bucks.  Double downs excellent always new games but Noveau Riche is my favourite atm. It rocks <f0><U+009F><U+0098><U+009D>"
151,4,"nz"," Shhaihshshhzusbsn Pretty good, it's a great time passer haha"
152,4,"au"," Over all good game. It's a good game, however I like to make my farm look nice. I've started to 'decorate it' but I can't get any further because there is a limit on decorations? I don't understand the reasoning. I like to put paths through my whole farm, but I can only pave 1/16th of it (for example). If you like playing the game for the missions etc, then it's great, but I like playing these sorts of games to decorate. (I'm the person who plays the sims just to build and furnish the houses, I don't actually play with the people.)"
153,5,"us"," Keeps them busy The kids love this game it makes them laugh."
154,3,"us"," Error I was tring to purchase a 99.99$ gift packet and it said I had 104.99$ in my account and it said insufficient credit so I can't buy the packet, please fix this error"
155,5,"us"," Awsome!!!! Keep it up OTM! This is like the only game I play when I have wifi!!! Idefinitly reccomend this app for everyone!"
156,5,"nz"," Candy crush What a frustratingly addictive game. Love the challenges, variation on screen layout and best of all, love the timed ones."
157,1,"gb"," This is a terrible app. I love subway Surfers, don't get me wrong this used to be a great game! But it needs a serious update. It takes about 10 minutes to load up and then keeps redirecting me to download another game when I'm click the cross! When the game eventually does start, it freezes every few seconds and doesn't let me slide up or down! The character just crashes into the posts! If it had a an update that worked that'd be great."
158,5,"nz"," A fun game to play Very addicting - would like it more if the time for quests are reduced"
159,5,"us"," Love this game This game helps me pass the time during my day!!!!"
160,5,"gb"," Love it Quality"
161,3,"au"," Good but can be better! Nice game! But seriously, full energy only allows you to examine a scene 5 times? I reckon people quit playing because they have to wait for too long!! Love the mysterious element of the game, but certainly don't love the wait!"
162,4,"us"," Good game My biggest problem with the game is that when the level is almost complete, the screen gets really dark and it's hard to see what's going on. I guess it's trying to simulate the closing of the store but it is unnecessary and a little irritating."
163,5,"gb"," Family, energy and stars Incredible game however 5 minutes is far too long to have to wait for just 1 energy it's so frustrating also it's stupidly hard to earn stars considering that is what is required to buy most things in the game also it would be incredible is the rest of the family had characters in the game"
164,5,"au"," WRB Soooo fun and addicting must have"
165,5,"au"," Please read I know there's gonna be a billion suggestions but can you add a thing were you can attack your clan members , they don't loose loot and you don't gain loot , but u can attack your mates . Please this would really help good clans so they can see their flaws in their base design with out lossing things <3 great game aswell"
166,3,"gb"," Casino Can't always get rewards and if I don't go in within 24 hrs, always lose out on the accumulative bonus, may be get in after 25 hrs so bonus away - be a little easier on those of us who rock shifts and not always easy to get in at specific times"
167,4,"gb"," Good game This is the best game I have possibly ever played. I mean it's so addicting i would pay a couple of quid for this game"
168,5,"us"," Love this app I find there are a lot of games out there just like this. But I can't stop playing them."
169,4,"nz"," Great game Nice graphics and interesting characters"
170,5,"nz"," Awesome game :) I think this a really cool game tbh it's that sort of game that you would play all day and all night who ever made this game must have literally been a GENIUS. Thank you guys for making this game possible. Though one concern could you make new power ups or new gadgets would appreciate it but GOOD GAME! Thanks"
171,5,"nz"," Subway surfers This is an amazing game with awesome things and amazing things to unlock and they are now on a tire which is amazing"
172,5,"nz"," Good I found this app pretty well formed the only bad thing I found was that it was a little hard at the start and that can put people of if it's difficult straight away"
173,5,"gb"," Love it Wasn't expecting too much from this but having played it i love this game, so addictive and fun"
174,5,"us"," A Awesome game"
175,1,"us"," Really? This game is funny but it really should be for teens super bad for 9 year olds it should be like for 14+"
176,5,"us"," Great app! Has no lag at all, and can very addictive. Great user interface!"
177,5,"gb"," Doubledown casino Love all the different games reall good app for all. Types I rate five star"
178,5,"gb"," 5 star game Great game, massive challenge, only fault is that they need to sort out you can still see the status bar at the top of the screen, apart from that it's fantastic"
179,5,"gb"," Awesome game Awesome game"
180,5,"us"," Plumbers crack Awesome and cool"
181,5,"us"," Fun FPS! The only thing I really DONT like about this game is the ads that show up every now and then. I would gladly pay to get those taken off so I wouldn't have that distraction. This game is just like a cheesy horror movie withe bad acting and over the top make up effects. You just can't look away!"
182,1,"au"," Didn't receive gems! I purchased 2500 gems and they money was taken but the gems weren't there!"
183,5,"gb"," Addictive! Love this game!"
